,Date,CCG,Pollutant,Indicator Value (R µg/m3)
556,2010,Ealing,Oxides of Nitrogen,
557,2011,Ealing,Oxides of Nitrogen,
558,2012,Ealing,Oxides of Nitrogen,
559,2013,Ealing,Oxides of Nitrogen,
560,2014,Ealing,Oxides of Nitrogen,
561,2015,Ealing,Oxides of Nitrogen,
562,2016,Ealing,Oxides of Nitrogen,
563,2017,Ealing,Oxides of Nitrogen,
564,2018,Ealing,Oxides of Nitrogen,
565,2019,Ealing,Oxides of Nitrogen,
566,2020,Ealing,Oxides of Nitrogen,
567,2004,East Berkshire,Oxides of Nitrogen,
568,2005,East Berkshire,Oxides of Nitrogen,
569,2006,East Berkshire,Oxides of Nitrogen,
570,2007,East Berkshire,Oxides of Nitrogen,
571,2008,East Berkshire,Oxides of Nitrogen,
572,2009,East Berkshire,Oxides of Nitrogen,
573,2010,East Berkshire,Oxides of Nitrogen,
574,2011,East Berkshire,Oxides of Nitrogen,
575,2012,East Berkshire,Oxides of Nitrogen,
576,2013,East Berkshire,Oxides of Nitrogen,
577,2014,East Berkshire,Oxides of Nitrogen,
578,2015,East Berkshire,Oxides of Nitrogen,
579,2016,East Berkshire,Oxides of Nitrogen,
580,2017,East Berkshire,Oxides of Nitrogen,
581,2018,East Berkshire,Oxides of Nitrogen,
582,2019,East Berkshire,Oxides of Nitrogen,
583,2020,East Berkshire,Oxides of Nitrogen,
584,2004,Hammersmith and Fulham,Oxides of Nitrogen,
585,2005,Hammersmith and Fulham,Oxides of Nitrogen,
586,2006,Hammersmith and Fulham,Oxides of Nitrogen,
587,2007,Hammersmith and Fulham,Oxides of Nitrogen,
588,2008,Hammersmith and Fulham,Oxides of Nitrogen,
589,2009,Hammersmith and Fulham,Oxides of Nitrogen,
590,2011,Hammersmith and Fulham,Oxides of Nitrogen,
591,2012,Hammersmith and Fulham,Oxides of Nitrogen,
592,2013,Hammersmith and Fulham,Oxides of Nitrogen,
593,2014,Hammersmith and Fulham,Oxides of Nitrogen,
594,2015,Hammersmith and Fulham,Oxides of Nitrogen,
595,2016,Hammersmith and Fulham,Oxides of Nitrogen,
596,2017,Hammersmith and Fulham,Oxides of Nitrogen,
597,2018,Hammersmith and Fulham,Oxides of Nitrogen,
598,2019,Hammersmith and Fulham,Oxides of Nitrogen,
599,2020,Hammersmith and Fulham,Oxides of Nitrogen,
600,2004,Hillingdon,Oxides of Nitrogen,
601,2005,Hillingdon,Oxides of Nitrogen,
602,2006,Hillingdon,Oxides of Nitrogen,
603,2007,Hillingdon,Oxides of Nitrogen,
604,2008,Hillingdon,Oxides of Nitrogen,
605,2009,Hillingdon,Oxides of Nitrogen,
606,2010,Hillingdon,Oxides of Nitrogen,
607,2011,Hillingdon,Oxides of Nitrogen,
608,2012,Hillingdon,Oxides of Nitrogen,
609,2013,Hillingdon,Oxides of Nitrogen,
610,2014,Hillingdon,Oxides of Nitrogen,
611,2015,Hillingdon,Oxides of Nitrogen,
612,2016,Hillingdon,Oxides of Nitrogen,
613,2017,Hillingdon,Oxides of Nitrogen,
614,2018,Hillingdon,Oxides of Nitrogen,
615,2019,Hillingdon,Oxides of Nitrogen,
616,2020,Hillingdon,Oxides of Nitrogen,
617,2004,Hounslow,Oxides of Nitrogen,134.37796484281202
618,2005,Hounslow,Oxides of Nitrogen,128.40552216974433
619,2006,Hounslow,Oxides of Nitrogen,112.24793947835276
620,2007,Hounslow,Oxides of Nitrogen,119.45842789010976
621,2008,Hounslow,Oxides of Nitrogen,113.19823591788318
622,2009,Hounslow,Oxides of Nitrogen,106.6648953855113
623,2010,Hounslow,Oxides of Nitrogen,92.88141709662345
624,2011,Hounslow,Oxides of Nitrogen,97.3852312756964
625,2012,Hounslow,Oxides of Nitrogen,109.84288661361906
626,2013,Hounslow,Oxides of Nitrogen,113.76668817399523
627,2014,Hounslow,Oxides of Nitrogen,110.27222042896581
628,2015,Hounslow,Oxides of Nitrogen,96.64138423097539
629,2016,Hounslow,Oxides of Nitrogen,111.93009771741049
630,2017,Hounslow,Oxides of Nitrogen,102.99050494806009
631,2018,Hounslow,Oxides of Nitrogen,78.53654282334979
632,2019,Hounslow,Oxides of Nitrogen,69.68273823400304
633,2020,Hounslow,Oxides of Nitrogen,51.08294914709443
634,2004,Oxford,Oxides of Nitrogen,
635,2005,Oxford,Oxides of Nitrogen,
636,2006,Oxford,Oxides of Nitrogen,
637,2007,Oxford,Oxides of Nitrogen,
638,2008,Oxford,Oxides of Nitrogen,
639,2009,Oxford,Oxides of Nitrogen,
640,2010,Oxford,Oxides of Nitrogen,
641,2011,Oxford,Oxides of Nitrogen,
642,2012,Oxford,Oxides of Nitrogen,
643,2013,Oxford,Oxides of Nitrogen,
644,2014,Oxford,Oxides of Nitrogen,
645,2015,Oxford,Oxides of Nitrogen,
646,2016,Oxford,Oxides of Nitrogen,
647,2017,Oxford,Oxides of Nitrogen,
648,2018,Oxford,Oxides of Nitrogen,
649,2019,Oxford,Oxides of Nitrogen,
650,2020,Oxford,Oxides of Nitrogen,
651,2006,Oxfordshire,Oxides of Nitrogen,
652,2007,Oxfordshire,Oxides of Nitrogen,
653,2008,Oxfordshire,Oxides of Nitrogen,
654,2009,Oxfordshire,Oxides of Nitrogen,
655,2010,Oxfordshire,Oxides of Nitrogen,
656,2011,Oxfordshire,Oxides of Nitrogen,
657,2012,Oxfordshire,Oxides of Nitrogen,
658,2013,Oxfordshire,Oxides of Nitrogen,
659,2014,Oxfordshire,Oxides of Nitrogen,
660,2015,Oxfordshire,Oxides of Nitrogen,
661,2016,Oxfordshire,Oxides of Nitrogen,
662,2017,Oxfordshire,Oxides of Nitrogen,
663,2018,Oxfordshire,Oxides of Nitrogen,
664,2019,Oxfordshire,Oxides of Nitrogen,
665,2020,Oxfordshire,Oxides of Nitrogen,
666,2006,Reading,Oxides of Nitrogen,
667,2007,Reading,Oxides of Nitrogen,
668,2008,Reading,Oxides of Nitrogen,
669,2009,Reading,Oxides of Nitrogen,
670,2010,Reading,Oxides of Nitrogen,
671,2011,Reading,Oxides of Nitrogen,
672,2012,Reading,Oxides of Nitrogen,
673,2013,Reading,Oxides of Nitrogen,
674,2014,Reading,Oxides of Nitrogen,
675,2015,Reading,Oxides of Nitrogen,
676,2016,Reading,Oxides of Nitrogen,
677,2017,Reading,Oxides of Nitrogen,
678,2018,Reading,Oxides of Nitrogen,
679,2019,Reading,Oxides of Nitrogen,
680,2020,Reading,Oxides of Nitrogen,
681,2004,South West London,Oxides of Nitrogen,
682,2005,South West London,Oxides of Nitrogen,
683,2006,South West London,Oxides of Nitrogen,
684,2007,South West London,Oxides of Nitrogen,
685,2008,South West London,Oxides of Nitrogen,
686,2009,South West London,Oxides of Nitrogen,
687,2010,South West London,Oxides of Nitrogen,
688,2011,South West London,Oxides of Nitrogen,
689,2012,South West London,Oxides of Nitrogen,
690,2013,South West London,Oxides of Nitrogen,
691,2014,South West London,Oxides of Nitrogen,
692,2015,South West London,Oxides of Nitrogen,
693,2016,South West London,Oxides of Nitrogen,
694,2017,South West London,Oxides of Nitrogen,
695,2018,South West London,Oxides of Nitrogen,
696,2019,South West London,Oxides of Nitrogen,
697,2020,South West London,Oxides of Nitrogen,
698,2004,Surrey Heartlands,Oxides of Nitrogen,
699,2005,Surrey Heartlands,Oxides of Nitrogen,
700,2006,Surrey Heartlands,Oxides of Nitrogen,
701,2007,Surrey Heartlands,Oxides of Nitrogen,
702,2008,Surrey Heartlands,Oxides of Nitrogen,
703,2009,Surrey Heartlands,Oxides of Nitrogen,
704,2010,Surrey Heartlands,Oxides of Nitrogen,
705,2011,Surrey Heartlands,Oxides of Nitrogen,
706,2012,Surrey Heartlands,Oxides of Nitrogen,
707,2013,Surrey Heartlands,Oxides of Nitrogen,
708,2014,Surrey Heartlands,Oxides of Nitrogen,
709,2015,Surrey Heartlands,Oxides of Nitrogen,
710,2016,Surrey Heartlands,Oxides of Nitrogen,
711,2017,Surrey Heartlands,Oxides of Nitrogen,
712,2018,Surrey Heartlands,Oxides of Nitrogen,
713,2019,Surrey Heartlands,Oxides of Nitrogen,
714,2020,Surrey Heartlands,Oxides of Nitrogen,
715,2004,Watford,Oxides of Nitrogen,
716,2005,Watford,Oxides of Nitrogen,
717,2006,Watford,Oxides of Nitrogen,
718,2007,Watford,Oxides of Nitrogen,
719,2008,Watford,Oxides of Nitrogen,
720,2009,Watford,Oxides of Nitrogen,
721,2010,Watford,Oxides of Nitrogen,
722,2011,Watford,Oxides of Nitrogen,
723,2012,Watford,Oxides of Nitrogen,
724,2013,Watford,Oxides of Nitrogen,
725,2014,Watford,Oxides of Nitrogen,
726,2015,Watford,Oxides of Nitrogen,
727,2016,Watford,Oxides of Nitrogen,
728,2017,Watford,Oxides of Nitrogen,
729,2018,Watford,Oxides of Nitrogen,
730,2019,Watford,Oxides of Nitrogen,
731,2020,Watford,Oxides of Nitrogen,
732,2020,Buckinghamshire,Ozone,49.98446735255331
733,2004,Ealing,Ozone,33.992080422331036
734,2005,Ealing,Ozone,28.594453090607452
735,2006,Ealing,Ozone,32.52753876052575
736,2007,Ealing,Ozone,28.47389078318255
737,2008,Ealing,Ozone,29.08530456902247
738,2009,Ealing,Ozone,25.856958735915402
739,2010,Ealing,Ozone,26.273895148700547
740,2011,Ealing,Ozone,28.222554258240905
741,2012,Ealing,Ozone,34.67911716417463
742,2013,Ealing,Ozone,35.00612546158585
743,2014,Ealing,Ozone,36.15235679691407
744,2015,Ealing,Ozone,36.43666549734984
745,2016,Ealing,Ozone,25.474152967171722
746,2017,Ealing,Ozone,
747,2018,Ealing,Ozone,
748,2019,Ealing,Ozone,
749,2020,Ealing,Ozone,
750,2004,East Berkshire,Ozone,
751,2005,East Berkshire,Ozone,
752,2006,East Berkshire,Ozone,
753,2007,East Berkshire,Ozone,
754,2008,East Berkshire,Ozone,
755,2009,East Berkshire,Ozone,
756,2010,East Berkshire,Ozone,
757,2011,East Berkshire,Ozone,
758,2012,East Berkshire,Ozone,
759,2013,East Berkshire,Ozone,
760,2014,East Berkshire,Ozone,
761,2015,East Berkshire,Ozone,
762,2016,East Berkshire,Ozone,
763,2017,East Berkshire,Ozone,
764,2018,East Berkshire,Ozone,
765,2019,East Berkshire,Ozone,29.025600590666674
766,2020,East Berkshire,Ozone,
767,2004,Hammersmith and Fulham,Ozone,
768,2005,Hammersmith and Fulham,Ozone,
769,2006,Hammersmith and Fulham,Ozone,
770,2007,Hammersmith and Fulham,Ozone,
771,2008,Hammersmith and Fulham,Ozone,
772,2009,Hammersmith and Fulham,Ozone,
773,2011,Hammersmith and Fulham,Ozone,
774,2012,Hammersmith and Fulham,Ozone,
775,2013,Hammersmith and Fulham,Ozone,
776,2014,Hammersmith and Fulham,Ozone,
777,2015,Hammersmith and Fulham,Ozone,
778,2016,Hammersmith and Fulham,Ozone,
779,2017,Hammersmith and Fulham,Ozone,
780,2018,Hammersmith and Fulham,Ozone,
781,2019,Hammersmith and Fulham,Ozone,29.899648073988853
782,2020,Hammersmith and Fulham,Ozone,38.11402287048222
783,2004,Hillingdon,Ozone,
784,2005,Hillingdon,Ozone,
785,2006,Hillingdon,Ozone,
786,2007,Hillingdon,Ozone,
787,2008,Hillingdon,Ozone,
788,2009,Hillingdon,Ozone,
789,2010,Hillingdon,Ozone,
790,2011,Hillingdon,Ozone,
791,2012,Hillingdon,Ozone,
792,2013,Hillingdon,Ozone,
793,2014,Hillingdon,Ozone,
794,2015,Hillingdon,Ozone,
795,2016,Hillingdon,Ozone,
796,2017,Hillingdon,Ozone,
797,2018,Hillingdon,Ozone,
798,2019,Hillingdon,Ozone,
799,2020,Hillingdon,Ozone,
800,2004,Hounslow,Ozone,31.628425987905036
801,2005,Hounslow,Ozone,34.42601047706647
802,2006,Hounslow,Ozone,41.626835958636
803,2007,Hounslow,Ozone,31.764437187208916
804,2008,Hounslow,Ozone,36.52743372248239
805,2009,Hounslow,Ozone,34.44903615759541
806,2010,Hounslow,Ozone,48.70446493924756
807,2011,Hounslow,Ozone,31.619417835477595
808,2012,Hounslow,Ozone,31.53995588994994
809,2013,Hounslow,Ozone,34.60202533864623
810,2014,Hounslow,Ozone,34.73975631668715
811,2015,Hounslow,Ozone,36.509611695960714
812,2016,Hounslow,Ozone,31.746313582504825
813,2017,Hounslow,Ozone,31.394449485143806
814,2018,Hounslow,Ozone,36.821549241524295
815,2019,Hounslow,Ozone,22.458061517232377
816,2020,Hounslow,Ozone,36.224710852264145
817,2004,Oxford,Ozone,40.37627870216314
818,2005,Oxford,Ozone,39.652825419415635
819,2006,Oxford,Ozone,45.27446438460312
820,2007,Oxford,Ozone,39.945394476233226
821,2008,Oxford,Ozone,41.21623794826508
822,2009,Oxford,Ozone,46.34964366921064
823,2010,Oxford,Ozone,49.67751969504908
824,2011,Oxford,Ozone,38.608095943348985
825,2012,Oxford,Ozone,35.100020181067926
826,2013,Oxford,Ozone,36.76181673923495
827,2014,Oxford,Ozone,34.717028121300004
828,2015,Oxford,Ozone,39.59717882624825
829,2016,Oxford,Ozone,31.307083207014557
830,2017,Oxford,Ozone,35.21848226078597
831,2018,Oxford,Ozone,45.05988358988324
832,2019,Oxford,Ozone,43.62949687037518
833,2020,Oxford,Ozone,46.38077932313156
834,2006,Oxfordshire,Ozone,
835,2007,Oxfordshire,Ozone,
836,2008,Oxfordshire,Ozone,
837,2009,Oxfordshire,Ozone,
838,2010,Oxfordshire,Ozone,
839,2011,Oxfordshire,Ozone,
840,2012,Oxfordshire,Ozone,
841,2013,Oxfordshire,Ozone,
842,2014,Oxfordshire,Ozone,
843,2015,Oxfordshire,Ozone,
844,2016,Oxfordshire,Ozone,
845,2017,Oxfordshire,Ozone,
846,2018,Oxfordshire,Ozone,
847,2019,Oxfordshire,Ozone,
848,2020,Oxfordshire,Ozone,
849,2006,Reading,Ozone,
850,2007,Reading,Ozone,
851,2008,Reading,Ozone,
852,2009,Reading,Ozone,
853,2010,Reading,Ozone,
854,2011,Reading,Ozone,
855,2012,Reading,Ozone,
856,2013,Reading,Ozone,
857,2014,Reading,Ozone,
858,2015,Reading,Ozone,
859,2016,Reading,Ozone,
860,2017,Reading,Ozone,
861,2018,Reading,Ozone,
862,2019,Reading,Ozone,
863,2020,Reading,Ozone,
864,2004,South West London,Ozone,44.607493596220664
865,2005,South West London,Ozone,44.135361457108395
866,2006,South West London,Ozone,48.32330127199309
867,2007,South West London,Ozone,41.21480032007615
868,2008,South West London,Ozone,45.1027968017699
869,2009,South West London,Ozone,43.13590402484978
870,2010,South West London,Ozone,41.50953040772639
871,2011,South West London,Ozone,44.94307372023647
872,2012,South West London,Ozone,40.2936849597165
873,2013,South West London,Ozone,46.69198316284394
874,2014,South West London,Ozone,46.118399821500226
875,2015,South West London,Ozone,49.47007436261727
876,2016,South West London,Ozone,45.56931440687024
877,2017,South West London,Ozone,43.24416341547551
878,2018,South West London,Ozone,38.327863907738106
879,2019,South West London,Ozone,38.0487653942683
880,2020,South West London,Ozone,37.13291708224313
881,2004,Surrey Heartlands,Ozone,50.287864487890644
882,2005,Surrey Heartlands,Ozone,27.11866034870588
883,2006,Surrey Heartlands,Ozone,52.91518156373235
884,2007,Surrey Heartlands,Ozone,35.76231325155799
885,2008,Surrey Heartlands,Ozone,31.74877747041146
886,2009,Surrey Heartlands,Ozone,24.901938657797682
887,2010,Surrey Heartlands,Ozone,19.500044578571437
888,2011,Surrey Heartlands,Ozone,21.737974765840228
889,2012,Surrey Heartlands,Ozone,20.15591060329671
890,2013,Surrey Heartlands,Ozone,20.364270698630143
891,2014,Surrey Heartlands,Ozone,19.27375172712328
892,2015,Surrey Heartlands,Ozone,19.258530986577185
893,2016,Surrey Heartlands,Ozone,16.596084844875342
894,2017,Surrey Heartlands,Ozone,16.11948559368132
895,2018,Surrey Heartlands,Ozone,17.077764141369876
896,2019,Surrey Heartlands,Ozone,15.629340110833343
897,2020,Surrey Heartlands,Ozone,15.343444322955985
898,2004,Watford,Ozone,37.226716159353565
899,2005,Watford,Ozone,35.039582271301235
900,2006,Watford,Ozone,39.207048556135774
901,2007,Watford,Ozone,43.26305339279386
902,2008,Watford,Ozone,
903,2009,Watford,Ozone,
904,2010,Watford,Ozone,
905,2011,Watford,Ozone,
906,2012,Watford,Ozone,
907,2013,Watford,Ozone,
908,2014,Watford,Ozone,
909,2015,Watford,Ozone,
910,2016,Watford,Ozone,
911,2017,Watford,Ozone,
912,2018,Watford,Ozone,
913,2019,Watford,Ozone,
914,2020,Watford,Ozone,
915,2020,Buckinghamshire,PM10 Particulate matter,16.014508197132173
916,2004,Ealing,PM10 Particulate matter,
917,2005,Ealing,PM10 Particulate matter,
918,2006,Ealing,PM10 Particulate matter,
919,2007,Ealing,PM10 Particulate matter,
920,2008,Ealing,PM10 Particulate matter,
921,2009,Ealing,PM10 Particulate matter,
922,2010,Ealing,PM10 Particulate matter,
923,2011,Ealing,PM10 Particulate matter,
924,2012,Ealing,PM10 Particulate matter,
925,2013,Ealing,PM10 Particulate matter,
926,2014,Ealing,PM10 Particulate matter,
927,2015,Ealing,PM10 Particulate matter,
928,2016,Ealing,PM10 Particulate matter,
929,2017,Ealing,PM10 Particulate matter,
930,2018,Ealing,PM10 Particulate matter,
931,2019,Ealing,PM10 Particulate matter,
932,2020,Ealing,PM10 Particulate matter,
933,2004,East Berkshire,PM10 Particulate matter,
934,2005,East Berkshire,PM10 Particulate matter,
935,2006,East Berkshire,PM10 Particulate matter,
936,2007,East Berkshire,PM10 Particulate matter,
937,2008,East Berkshire,PM10 Particulate matter,
938,2009,East Berkshire,PM10 Particulate matter,
939,2010,East Berkshire,PM10 Particulate matter,
940,2011,East Berkshire,PM10 Particulate matter,
941,2012,East Berkshire,PM10 Particulate matter,
942,2013,East Berkshire,PM10 Particulate matter,
943,2014,East Berkshire,PM10 Particulate matter,
944,2015,East Berkshire,PM10 Particulate matter,
945,2016,East Berkshire,PM10 Particulate matter,
946,2017,East Berkshire,PM10 Particulate matter,
947,2018,East Berkshire,PM10 Particulate matter,
948,2019,East Berkshire,PM10 Particulate matter,
949,2020,East Berkshire,PM10 Particulate matter,
950,2004,Hammersmith and Fulham,PM10 Particulate matter,
951,2005,Hammersmith and Fulham,PM10 Particulate matter,
952,2006,Hammersmith and Fulham,PM10 Particulate matter,
953,2007,Hammersmith and Fulham,PM10 Particulate matter,
954,2008,Hammersmith and Fulham,PM10 Particulate matter,
955,2009,Hammersmith and Fulham,PM10 Particulate matter,
956,2011,Hammersmith and Fulham,PM10 Particulate matter,
957,2012,Hammersmith and Fulham,PM10 Particulate matter,
958,2013,Hammersmith and Fulham,PM10 Particulate matter,
959,2014,Hammersmith and Fulham,PM10 Particulate matter,
960,2015,Hammersmith and Fulham,PM10 Particulate matter,
961,2016,Hammersmith and Fulham,PM10 Particulate matter,
962,2017,Hammersmith and Fulham,PM10 Particulate matter,
963,2018,Hammersmith and Fulham,PM10 Particulate matter,
964,2019,Hammersmith and Fulham,PM10 Particulate matter,
965,2020,Hammersmith and Fulham,PM10 Particulate matter,
966,2004,Hillingdon,PM10 Particulate matter,
967,2005,Hillingdon,PM10 Particulate matter,
968,2006,Hillingdon,PM10 Particulate matter,
969,2007,Hillingdon,PM10 Particulate matter,
970,2008,Hillingdon,PM10 Particulate matter,
971,2009,Hillingdon,PM10 Particulate matter,
972,2010,Hillingdon,PM10 Particulate matter,
973,2011,Hillingdon,PM10 Particulate matter,
974,2012,Hillingdon,PM10 Particulate matter,
975,2013,Hillingdon,PM10 Particulate matter,
976,2014,Hillingdon,PM10 Particulate matter,
977,2015,Hillingdon,PM10 Particulate matter,
978,2016,Hillingdon,PM10 Particulate matter,
979,2017,Hillingdon,PM10 Particulate matter,
980,2018,Hillingdon,PM10 Particulate matter,
981,2019,Hillingdon,PM10 Particulate matter,
982,2020,Hillingdon,PM10 Particulate matter,
983,2004,Hounslow,PM10 Particulate matter,28.02264972395538
984,2005,Hounslow,PM10 Particulate matter,29.189345081336416
985,2006,Hounslow,PM10 Particulate matter,27.311610241039347
986,2007,Hounslow,PM10 Particulate matter,26.701155002961407
987,2008,Hounslow,PM10 Particulate matter,27.137784100238555
988,2009,Hounslow,PM10 Particulate matter,25.622636815288143
989,2010,Hounslow,PM10 Particulate matter,24.063699042250658
990,2011,Hounslow,PM10 Particulate matter,19.084606290466706
991,2012,Hounslow,PM10 Particulate matter,23.91549859262039
992,2013,Hounslow,PM10 Particulate matter,26.847779328196744
993,2014,Hounslow,PM10 Particulate matter,24.561485050362847
994,2015,Hounslow,PM10 Particulate matter,21.983250588802758
995,2016,Hounslow,PM10 Particulate matter,22.53204876961306
996,2017,Hounslow,PM10 Particulate matter,21.728613748432743
997,2018,Hounslow,PM10 Particulate matter,19.87063618445889
998,2019,Hounslow,PM10 Particulate matter,19.630715810627898
999,2020,Hounslow,PM10 Particulate matter,20.00798468531694
1000,2004,Oxford,PM10 Particulate matter,
1001,2005,Oxford,PM10 Particulate matter,
1002,2006,Oxford,PM10 Particulate matter,
1003,2007,Oxford,PM10 Particulate matter,
1004,2008,Oxford,PM10 Particulate matter,
1005,2009,Oxford,PM10 Particulate matter,
1006,2010,Oxford,PM10 Particulate matter,
1007,2011,Oxford,PM10 Particulate matter,
1008,2012,Oxford,PM10 Particulate matter,
1009,2013,Oxford,PM10 Particulate matter,
1010,2014,Oxford,PM10 Particulate matter,
1011,2015,Oxford,PM10 Particulate matter,
1012,2016,Oxford,PM10 Particulate matter,
1013,2017,Oxford,PM10 Particulate matter,
1014,2018,Oxford,PM10 Particulate matter,
1015,2019,Oxford,PM10 Particulate matter,
1016,2020,Oxford,PM10 Particulate matter,
1017,2006,Oxfordshire,PM10 Particulate matter,
1018,2007,Oxfordshire,PM10 Particulate matter,
1019,2008,Oxfordshire,PM10 Particulate matter,
1020,2009,Oxfordshire,PM10 Particulate matter,
1021,2010,Oxfordshire,PM10 Particulate matter,
1022,2011,Oxfordshire,PM10 Particulate matter,
1023,2012,Oxfordshire,PM10 Particulate matter,
1024,2013,Oxfordshire,PM10 Particulate matter,
1025,2014,Oxfordshire,PM10 Particulate matter,
1026,2015,Oxfordshire,PM10 Particulate matter,
1027,2016,Oxfordshire,PM10 Particulate matter,
1028,2017,Oxfordshire,PM10 Particulate matter,
1029,2018,Oxfordshire,PM10 Particulate matter,
1030,2019,Oxfordshire,PM10 Particulate matter,
1031,2020,Oxfordshire,PM10 Particulate matter,
1032,2006,Reading,PM10 Particulate matter,
1033,2007,Reading,PM10 Particulate matter,
1034,2008,Reading,PM10 Particulate matter,
1035,2009,Reading,PM10 Particulate matter,
1036,2010,Reading,PM10 Particulate matter,
1037,2011,Reading,PM10 Particulate matter,
1038,2012,Reading,PM10 Particulate matter,
1039,2013,Reading,PM10 Particulate matter,
1040,2014,Reading,PM10 Particulate matter,
1041,2015,Reading,PM10 Particulate matter,
1042,2016,Reading,PM10 Particulate matter,
1043,2017,Reading,PM10 Particulate matter,
1044,2018,Reading,PM10 Particulate matter,
1045,2019,Reading,PM10 Particulate matter,
1046,2020,Reading,PM10 Particulate matter,
1047,2004,South West London,PM10 Particulate matter,
1048,2005,South West London,PM10 Particulate matter,
1049,2006,South West London,PM10 Particulate matter,
1050,2007,South West London,PM10 Particulate matter,
1051,2008,South West London,PM10 Particulate matter,
1052,2009,South West London,PM10 Particulate matter,
1053,2010,South West London,PM10 Particulate matter,
1054,2011,South West London,PM10 Particulate matter,
1055,2012,South West London,PM10 Particulate matter,
1056,2013,South West London,PM10 Particulate matter,
1057,2014,South West London,PM10 Particulate matter,
1058,2015,South West London,PM10 Particulate matter,
1059,2016,South West London,PM10 Particulate matter,
1060,2017,South West London,PM10 Particulate matter,
1061,2018,South West London,PM10 Particulate matter,
1062,2019,South West London,PM10 Particulate matter,
1063,2020,South West London,PM10 Particulate matter,
1064,2004,Surrey Heartlands,PM10 Particulate matter,
1065,2005,Surrey Heartlands,PM10 Particulate matter,
1066,2006,Surrey Heartlands,PM10 Particulate matter,
1067,2007,Surrey Heartlands,PM10 Particulate matter,
1068,2008,Surrey Heartlands,PM10 Particulate matter,
1069,2009,Surrey Heartlands,PM10 Particulate matter,
1070,2010,Surrey Heartlands,PM10 Particulate matter,
1071,2011,Surrey Heartlands,PM10 Particulate matter,
1072,2012,Surrey Heartlands,PM10 Particulate matter,
1073,2013,Surrey Heartlands,PM10 Particulate matter,
1074,2014,Surrey Heartlands,PM10 Particulate matter,
1075,2015,Surrey Heartlands,PM10 Particulate matter,
1076,2016,Surrey Heartlands,PM10 Particulate matter,
1077,2017,Surrey Heartlands,PM10 Particulate matter,
1078,2018,Surrey Heartlands,PM10 Particulate matter,
1079,2019,Surrey Heartlands,PM10 Particulate matter,
1080,2020,Surrey Heartlands,PM10 Particulate matter,
1081,2004,Watford,PM10 Particulate matter,
1082,2005,Watford,PM10 Particulate matter,
1083,2006,Watford,PM10 Particulate matter,
1084,2007,Watford,PM10 Particulate matter,
1085,2008,Watford,PM10 Particulate matter,
1086,2009,Watford,PM10 Particulate matter,
1087,2010,Watford,PM10 Particulate matter,
1088,2011,Watford,PM10 Particulate matter,
1089,2012,Watford,PM10 Particulate matter,
1090,2013,Watford,PM10 Particulate matter,
1091,2014,Watford,PM10 Particulate matter,
1092,2015,Watford,PM10 Particulate matter,
1093,2016,Watford,PM10 Particulate matter,
1094,2017,Watford,PM10 Particulate matter,
1095,2018,Watford,PM10 Particulate matter,
1096,2019,Watford,PM10 Particulate matter,
1097,2020,Watford,PM10 Particulate matter,
1098,2020,Buckinghamshire,PM10 particulate matter (Hourly measured),
1099,2004,Ealing,PM10 particulate matter (Hourly measured),23.333576306877806
1100,2005,Ealing,PM10 particulate matter (Hourly measured),25.916646944624887
1101,2006,Ealing,PM10 particulate matter (Hourly measured),25.443424688491117
1102,2007,Ealing,PM10 particulate matter (Hourly measured),24.401768909306927
1103,2008,Ealing,PM10 particulate matter (Hourly measured),22.14147480833379
1104,2009,Ealing,PM10 particulate matter (Hourly measured),22.76906732666252
1105,2010,Ealing,PM10 particulate matter (Hourly measured),22.358329224931214
1106,2011,Ealing,PM10 particulate matter (Hourly measured),23.629680687321052
1107,2012,Ealing,PM10 particulate matter (Hourly measured),23.47171892978855
1108,2013,Ealing,PM10 particulate matter (Hourly measured),25.208131518313756
1109,2014,Ealing,PM10 particulate matter (Hourly measured),20.096599504327465
1110,2015,Ealing,PM10 particulate matter (Hourly measured),22.298301598920983
1111,2016,Ealing,PM10 particulate matter (Hourly measured),22.008692919730816
1112,2017,Ealing,PM10 particulate matter (Hourly measured),25.726536726411894
1113,2018,Ealing,PM10 particulate matter (Hourly measured),24.810243239771193
1114,2019,Ealing,PM10 particulate matter (Hourly measured),22.534795186299238
1115,2020,Ealing,PM10 particulate matter (Hourly measured),20.715119767152874
1116,2004,East Berkshire,PM10 particulate matter (Hourly measured),23.849996292353744
1117,2005,East Berkshire,PM10 particulate matter (Hourly measured),27.401398039196902
1118,2006,East Berkshire,PM10 particulate matter (Hourly measured),23.056505102243108
1119,2007,East Berkshire,PM10 particulate matter (Hourly measured),39.66833846461614
1120,2008,East Berkshire,PM10 particulate matter (Hourly measured),25.211123348414986
1121,2009,East Berkshire,PM10 particulate matter (Hourly measured),27.864766646046945
1122,2010,East Berkshire,PM10 particulate matter (Hourly measured),21.926850842498222
1123,2011,East Berkshire,PM10 particulate matter (Hourly measured),30.240539557524375
1124,2012,East Berkshire,PM10 particulate matter (Hourly measured),23.303635589080503
1125,2013,East Berkshire,PM10 particulate matter (Hourly measured),22.190329520577137
1126,2014,East Berkshire,PM10 particulate matter (Hourly measured),19.033874080234835
1127,2015,East Berkshire,PM10 particulate matter (Hourly measured),16.24208172173037
1128,2016,East Berkshire,PM10 particulate matter (Hourly measured),15.282021490711628
