,Indicator Full Name,Indicator,Area Name,Radius,Year,Time period,Mortality Rate
480,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2005,2005 - 07,69.72
481,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2005,2005 - 07,64.09
482,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2005,2005 - 07,65.52
483,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2005,2005 - 07,48.51
484,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2005,2005 - 07,45.95
485,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2005,2005 - 07,56.84
486,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2006,2006 - 08,72.51
487,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2006,2006 - 08,62.77
488,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2006,2006 - 08,60.52
489,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2006,2006 - 08,43.2
490,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2006,2006 - 08,43.59
491,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2006,2006 - 08,55.23
492,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2007,2007 - 09,70.78
493,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2007,2007 - 09,52.52
494,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2007,2007 - 09,61.04
495,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2007,2007 - 09,36.98
496,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2007,2007 - 09,41.99
497,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2007,2007 - 09,52.42
498,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2008,2008 - 10,65.23
499,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2008,2008 - 10,45.13
500,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2008,2008 - 10,55.85
501,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2008,2008 - 10,34.53
502,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2008,2008 - 10,37.24
503,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2008,2008 - 10,49.03
504,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2009,2009 - 11,55.86
505,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2009,2009 - 11,41.13
506,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2009,2009 - 11,50.79
507,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2009,2009 - 11,31.59
508,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2009,2009 - 11,35.16
509,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2009,2009 - 11,45.09
510,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2010,2010 - 12,51.13
511,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2010,2010 - 12,43.67
512,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2010,2010 - 12,45.6
513,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2010,2010 - 12,31.77
514,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2010,2010 - 12,32.33
515,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2010,2010 - 12,43.36
516,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2011,2011 - 13,48.52
517,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2011,2011 - 13,43.16
518,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2011,2011 - 13,47.66
519,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2011,2011 - 13,29.35
520,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2011,2011 - 13,30.32
521,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2011,2011 - 13,43.62
522,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2012,2012 - 14,48.14
523,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2012,2012 - 14,43.62
524,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2012,2012 - 14,44.07
525,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2012,2012 - 14,28.99
526,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2012,2012 - 14,27.19
527,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2012,2012 - 14,40.42
528,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2013,2013 - 15,47.58
529,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2013,2013 - 15,46.77
530,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2013,2013 - 15,45.78
531,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2013,2013 - 15,29.73
532,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2013,2013 - 15,26.13
533,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2013,2013 - 15,39.76
534,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2014,2014 - 16,43.97
535,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2014,2014 - 16,41.78
536,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2014,2014 - 16,40.43
537,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2014,2014 - 16,30.59
538,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2014,2014 - 16,27.4
539,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2014,2014 - 16,36.14
540,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2015,2015 - 17,44.87
541,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2015,2015 - 17,40.96
542,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2015,2015 - 17,47.21
543,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2015,2015 - 17,30.57
544,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2015,2015 - 17,27.64
545,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2015,2015 - 17,36.01
546,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2016,2016 - 18,42.53
547,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2016,2016 - 18,38.07
548,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2016,2016 - 18,45.2
549,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2016,2016 - 18,28.19
550,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2016,2016 - 18,26.3
551,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2016,2016 - 18,34.85
552,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2017,2017 - 19,42.33
553,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2017,2017 - 19,38.36
554,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2017,2017 - 19,46.7
555,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2017,2017 - 19,27.21
556,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2017,2017 - 19,23.33
557,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2017,2017 - 19,34.69
558,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2003,2003 - 05,82.91
559,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2003,2003 - 05,65.95
560,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2003,2003 - 05,85.5
561,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2003,2003 - 05,54.8
562,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2003,2003 - 05,51.21
563,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2003,2003 - 05,67.88
564,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2004,2004 - 06,70.77
565,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2004,2004 - 06,62.34
566,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2004,2004 - 06,74.39
567,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2004,2004 - 06,52.68
568,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2004,2004 - 06,46.66
569,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2004,2004 - 06,62.29
570,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2005,2005 - 07,69.72
571,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2005,2005 - 07,64.09
572,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2005,2005 - 07,65.52
573,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2005,2005 - 07,48.51
574,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2005,2005 - 07,45.95
575,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2005,2005 - 07,56.84
576,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2006,2006 - 08,72.51
577,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2006,2006 - 08,62.77
578,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2006,2006 - 08,60.52
579,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2006,2006 - 08,43.2
580,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2006,2006 - 08,43.59
581,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2006,2006 - 08,55.23
582,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2007,2007 - 09,70.78
583,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2007,2007 - 09,52.52
584,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2007,2007 - 09,61.04
585,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2007,2007 - 09,36.98
586,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2007,2007 - 09,41.99
587,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2007,2007 - 09,52.42
588,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2008,2008 - 10,65.23
589,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2008,2008 - 10,45.13
590,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2008,2008 - 10,55.85
591,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2008,2008 - 10,34.53
592,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2008,2008 - 10,37.24
593,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2008,2008 - 10,49.03
594,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2009,2009 - 11,55.86
595,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2009,2009 - 11,41.13
596,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2009,2009 - 11,50.79
597,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2009,2009 - 11,31.59
598,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2009,2009 - 11,35.16
599,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2009,2009 - 11,45.09
600,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2010,2010 - 12,51.13
601,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2010,2010 - 12,43.67
602,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2010,2010 - 12,45.6
603,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2010,2010 - 12,31.77
604,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2010,2010 - 12,32.33
605,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2010,2010 - 12,43.36
606,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2011,2011 - 13,48.52
607,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2011,2011 - 13,43.16
608,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2011,2011 - 13,47.66
609,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2011,2011 - 13,29.35
610,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2011,2011 - 13,30.32
611,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2011,2011 - 13,43.62
612,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2012,2012 - 14,48.14
613,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2012,2012 - 14,43.62
614,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2012,2012 - 14,44.07
615,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2012,2012 - 14,28.99
616,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2012,2012 - 14,27.19
617,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2012,2012 - 14,40.42
618,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2013,2013 - 15,47.58
619,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2013,2013 - 15,46.77
620,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2013,2013 - 15,45.78
621,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2013,2013 - 15,29.73
622,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2013,2013 - 15,26.13
623,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2013,2013 - 15,39.76
624,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2014,2014 - 16,43.97
625,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2014,2014 - 16,41.78
626,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2014,2014 - 16,40.43
627,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2014,2014 - 16,30.59
628,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2014,2014 - 16,27.4
629,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2014,2014 - 16,36.14
630,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2015,2015 - 17,44.87
631,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2015,2015 - 17,40.96
632,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2015,2015 - 17,47.21
633,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2015,2015 - 17,30.57
634,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2015,2015 - 17,27.64
635,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2015,2015 - 17,36.01
636,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2016,2016 - 18,42.53
637,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2016,2016 - 18,38.07
638,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2016,2016 - 18,45.2
639,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2016,2016 - 18,28.19
640,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2016,2016 - 18,26.3
641,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2016,2016 - 18,34.85
642,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Ealing CCG,Inner,2017,2017 - 19,42.33
643,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hillingdon CCG,Inner,2017,2017 - 19,38.36
644,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Hounslow CCG,Inner,2017,2017 - 19,46.7
645,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS North West Surrey CCG,Inner,2017,2017 - 19,27.21
646,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS Buckinghamshire CCG,Inner,2017,2017 - 19,23.33
647,"Coronary heart disease mortality rates, under 75 years",<75 Coronary Heart Disease,NHS East Berkshire CCG,Inner,2017,2017 - 19,34.69
649,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Brent CCG,Outer,2006,2006 - 08,29.73969042731689
650,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hammersmith And Fulham CCG,Outer,2006,2006 - 08,43.2415809754646
651,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Harrow CCG,Outer,2006,2006 - 08,28.653139026118
652,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Herts Valleys CCG,Outer,2006,2006 - 08,28.431672642207605
653,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Oxfordshire CCG,Outer,2006,2006 - 08,25.4612310316064
654,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Surrey Heath CCG,Outer,2006,2006 - 08,26.7840430182791
655,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Berkshire West CCG,Outer,2006,2006 - 08,27.8335811075721
657,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Brent CCG,Outer,2007,2007 - 09,29.186682479626498
658,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hammersmith And Fulham CCG,Outer,2007,2007 - 09,36.587326724214286
659,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Harrow CCG,Outer,2007,2007 - 09,28.310915799716
660,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Herts Valleys CCG,Outer,2007,2007 - 09,25.6994931365132
661,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Oxfordshire CCG,Outer,2007,2007 - 09,27.655142006644002
662,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Surrey Heath CCG,Outer,2007,2007 - 09,29.834456963006
663,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Berkshire West CCG,Outer,2007,2007 - 09,25.9250225560436
665,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Brent CCG,Outer,2008,2008 - 10,28.164649712876702
666,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hammersmith And Fulham CCG,Outer,2008,2008 - 10,39.9929980062583
667,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Harrow CCG,Outer,2008,2008 - 10,27.4820275889577
668,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Herts Valleys CCG,Outer,2008,2008 - 10,25.543866288656698
669,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Oxfordshire CCG,Outer,2008,2008 - 10,28.346209217153696
670,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Surrey Heath CCG,Outer,2008,2008 - 10,28.132805244018996
671,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Berkshire West CCG,Outer,2008,2008 - 10,25.876173930050307
673,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Brent CCG,Outer,2009,2009 - 11,25.7645607099208
674,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hammersmith And Fulham CCG,Outer,2009,2009 - 11,37.770664975182704
675,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Harrow CCG,Outer,2009,2009 - 11,25.650230568190302
676,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Herts Valleys CCG,Outer,2009,2009 - 11,25.211049761381396
677,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Oxfordshire CCG,Outer,2009,2009 - 11,28.4062549243124
678,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Surrey Heath CCG,Outer,2009,2009 - 11,27.8516930390822
679,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Berkshire West CCG,Outer,2009,2009 - 11,25.4815409660047
681,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Brent CCG,Outer,2010,2010 - 12,28.118257329728603
682,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hammersmith And Fulham CCG,Outer,2010,2010 - 12,37.973793323937706
683,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Harrow CCG,Outer,2010,2010 - 12,26.074988444084106
684,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Herts Valleys CCG,Outer,2010,2010 - 12,26.650469044815306
685,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Oxfordshire CCG,Outer,2010,2010 - 12,26.8780391257484
686,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Surrey Heath CCG,Outer,2010,2010 - 12,23.629602548764
687,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Berkshire West CCG,Outer,2010,2010 - 12,24.80158551057
689,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Brent CCG,Outer,2011,2011 - 13,26.490427326584506
690,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hammersmith And Fulham CCG,Outer,2011,2011 - 13,32.083831486017296
691,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Harrow CCG,Outer,2011,2011 - 13,25.761081193927
